binID	qvalue	predicted_accuracy	damage_model_p	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4
GOY005_015	0.0845	0.6210	0.4050	0.0785	0.0000	0.0000	0.0000	0.0000
GOY005_016	0.0110	0.5870	0.3630	0.0830	0.0420	0.0000	0.0000	0.0000
GOY005_017	0.0000	0.8255	0.3870	0.1260	0.0700	0.0460	0.0390	0.0330
GOY005_018	0.3660	0.4320	0.4540	0.0000	0.0000	0.0000	0.0000	0.0000
GOY006_001	0.0000	0.9850	0.3560	0.2750	0.1560	0.1070	0.1130	0.0890
GOY006_002	0.0000	0.8500	0.5170	0.1100	0.0570	0.0370	0.0400	0.0330
GOY006_003	0.0000	0.9700	0.4430	0.2140	0.1130	0.0720	0.0770	0.0610
GOY006_004	0.0000	0.9200	0.5395	0.1190	0.0640	0.0390	0.0420	0.0345
LIS001_001	0.0000	0.6320	0.1770	0.0440	0.0420	0.0280	0.0260	0.0240
LIS001_002	0.0000	0.5295	0.1970	0.0425	0.0390	0.0270	0.0240	0.0220
LIS001_003	0.0000	0.4970	0.1905	0.0480	0.0455	0.0325	0.0285	0.0280
LIS002_001	0.0000	0.8330	0.1510	0.0780	0.0780	0.0580	0.0550	0.0460
LIS002_002	0.0000	0.8450	0.1260	0.0800	0.0800	0.0630	0.0620	0.0560
MOA001_001	0.0000	1.0000	0.4480	0.2600	0.1440	0.0800	0.0610	0.0460
MOA001_002	0.0000	0.9970	0.3400	0.3110	0.1880	0.1190	0.0950	0.0750
MOA001_003	0.0000	0.9950	0.3350	0.3240	0.2030	0.1330	0.0980	0.0810
MOA001_004	0.0000	0.9940	0.3470	0.2850	0.1770	0.1120	0.0870	0.0660
MOA001_005	0.0000	0.9970	0.2700	0.3500	0.2240	0.1600	0.1350	0.1060
MOA001_006	0.0000	0.9890	0.4110	0.2860	0.1670	0.0950	0.0750	0.0560
MOA001_007	0.0000	0.9980	0.3020	0.3510	0.2180	0.1520	0.1220	0.0950
OAK002_002	0.0000	0.9970	0.2040	0.3590	0.2630	0.2020	0.1690	0.1450
OAK002_003	0.0000	0.9980	0.1770	0.3880	0.2880	0.2360	0.2060	0.1680
OAK002_004	0.0000	0.9960	0.1820	0.3595	0.2680	0.2185	0.1880	0.1580
OAK002_005	0.0000	0.9900	0.3260	0.3070	0.1880	0.1180	0.0830	0.0690
OAK002_006	0.0000	0.9990	0.1690	0.4150	0.3160	0.2560	0.2205	0.1900
OAK002_007	0.0000	0.9960	0.2000	0.3640	0.2690	0.2060	0.1670	0.1450
OAK002_008	0.0000	0.9865	0.2510	0.2655	0.1860	0.1315	0.1060	0.0920
OAK002_009	0.0000	0.9900	0.1875	0.3030	0.2220	0.1820	0.1560	0.1360
OAK003_001	0.0000	0.9950	0.3100	0.2790	0.1790	0.1180	0.0910	0.0770
OAK003_002	0.0000	0.9980	0.3095	0.2530	0.1620	0.1090	0.0850	0.0680
OAK003_003	0.0000	0.9980	0.3055	0.2930	0.1850	0.1230	0.1000	0.0830
OAK003_004	0.0000	0.9900	0.4450	0.2150	0.1170	0.0670	0.0480	0.0400
OAK003_005	0.0000	0.9970	0.3200	0.2880	0.1890	0.1280	0.1020	0.0780
OAK003_006	0.0000	0.9900	0.2730	0.2710	0.1770	0.1240	0.0970	0.0795
OAK003_007	0.0000	0.9740	0.3900	0.2460	0.1360	0.0830	0.0660	0.0480
OAK004_001	0.0000	0.9850	0.2810	0.2470	0.1620	0.1120	0.0900	0.0720
OAK004_002	0.0000	0.9710	0.2580	0.2050	0.1430	0.1000	0.0820	0.0670
OAK004_003	0.0000	0.8810	0.2605	0.1570	0.1060	0.0740	0.0620	0.0480
OAK005_001	0.0000	0.9770	0.2780	0.2460	0.1580	0.1120	0.0920	0.0690
OAK005_002	0.0000	0.9570	0.2530	0.2270	0.1450	0.1030	0.0910	0.0740
OAK005_003	0.0000	0.9420	0.2990	0.2110	0.1270	0.0930	0.0740	0.0600
OAK005_004	0.0000	0.9910	0.1800	0.3110	0.2260	0.1820	0.1580	0.1350
OAK005_005	0.0000	0.9380	0.2405	0.2140	0.1430	0.1040	0.0880	0.0750
OAK005_006	0.0000	0.9980	0.2570	0.2520	0.1680	0.1260	0.1005	0.0830
OAK005_007	0.0000	0.9870	0.2000	0.2820	0.2020	0.1550	0.1340	0.1160
OAK005_008	0.0000	0.9750	0.2630	0.2500	0.1590	0.1160	0.0930	0.0790
OAK005_009	0.0000	0.9830	0.2750	0.2380	0.1570	0.1100	0.0905	0.0760
OAK005_010	0.0000	0.9910	0.1990	0.2910	0.2110	0.1640	0.1400	0.1190
OAK005_011	0.0000	0.9620	0.2710	0.2270	0.1535	0.1105	0.0870	0.0745
OFN001_001	0.0000	0.9330	0.1710	0.1710	0.1220	0.1040	0.0960	0.0800
OFN001_002	0.0000	0.8150	0.2870	0.0930	0.0540	0.0370	0.0330	0.0280
